timerange,plug,light,ventilation_use,heating_use,cooling_use,temperature_15min_avg,humidity_15min_avg,Co2,pm10_15min_avg,pm25_15min_avg,tvoc_15min_avg,illuminance_15min_avg,heatcool,plug_change,Co2_change,weekday,occupancy,light_waste,heatcool_waste,plug_waste
2024-10-01 12:30:00,0.7380729,0.60920817,0.0055,0.002348666,0.0001413,26.20000076,60.18000031,506.0666667,2.0,2.0,11.33333333,55.93333333,0.002489966,-0.033854159999999967,-5.533333300000038,0,1.0,0.0,0.0,0.0
2024-10-01 12:45:00,0.8396354,0.6898519,0.005770819,0.002341267,0.00014156,26.25333328,59.82666626,510.6,2.0,2.0,11.0,57.06666667,0.002482827,0.1015625,4.533333300000038,0,1.0,0.0,0.0,0.0
2024-10-01 13:00:00,0.7863715,0.79030025,0.0055,0.002343381,0.00014076,26.29999924,59.18666662,487.0666667,2.0,2.0,8.0,57.86666667,0.002484141,-0.05326390000000003,-23.533333300000038,0,1.0,0.0,0.0,0.0
2024-10-01 13:15:00,0.79347223,0.5602303,0.005083333,0.00234021,0.00014103,26.29999924,58.89333344,495.2666667,2.0,2.0,7.133333333,59.8,0.00248124,0.0071007299999999995,8.199999999999989,0,1.0,0.0,0.0,0.0
2024-10-01 13:30:00,0.77192706,0.70480305,0.005488279,0.002338096,0.0001405,26.30666593,58.1600001,489.0666667,1.866666667,1.8,5.533333333,60.0,0.002478596,-0.021545170000000002,-6.199999999999989,0,1.0,0.0,0.0,0.0
2024-10-01 13:45:00,0.79607636,0.6603763,0.005873683,0.00234021,0.0001413,26.37333285,58.17333374,523.8,2.0,2.0,6.933333333,59.8,0.00248151,0.02414930000000004,34.73333329999997,0,1.0,0.0,0.0,0.0
2024-10-01 14:00:00,0.79607636,0.6203594,0.006174465,0.002338096,0.0001413,26.39999962,57.24666672,495.5333333,2.0,2.0,4.666666667,60.0,0.002479396,0.0,-28.266666699999973,0,1.0,0.0,0.0,0.0
2024-10-01 14:15:00,0.78652024,0.70529133,0.00575,0.002343381,0.00014076,26.48666662,57.16000061,538.0,1.533333333,1.533333333,4.866666667,60.0,0.002484141,-0.009556120000000057,42.46666670000002,0,1.0,0.0,0.0,0.0
2024-10-01 14:30:00,0.73993057,0.66025555,0.00575,0.00234021,0.00014262,26.65333392,57.35999934,538.5333333,1.266666667,1.266666667,9.4,59.8,0.00248283,-0.04658967000000003,0.5333332999999811,0,1.0,0.0,0.0,0.0
2024-10-01 14:45:00,0.77118057,0.60519695,0.005776041,0.002341267,0.0001413,26.70000076,56.69333318,539.6,1.533333333,1.4,9.533333333,60.0,0.002482567,0.03125,1.0666667000000416,0,1.0,0.0,0.0,0.0
2024-10-01 15:00:00,0.7380729,0.6545329,0.00575,0.002341267,0.00014023,26.70000076,55.33999939,521.2666667,1.6,1.6,5.8,58.66666667,0.002481497,-0.03310766999999992,-18.33333330000005,0,1.0,0.0,0.0,0.0
